月份,日期,工作日,流量
2,1,1,1.8713598379336542
2,1,1,0.0112079701120797
2,1,1,0.011754007188503343
2,1,1,233.52083333333331
2,1,1,228.89215686274508
2,1,1,4.554707379134861
2,1,1,20.84045226130653
2,1,1,1.2969072164948454
2,1,1,309.66346153846155
2,1,1,1049.0828402366865
2,1,1,9.235843870258382
2,2,1,2.069384654342872
2,2,1,0.012453300124533002
2,2,1,0.023508014377006687
2,2,1,285.0208333333333
2,2,1,238.4705882352941
2,2,1,5.094147582697201
2,2,1,24.547738693467334
2,2,1,1.4927835051546392
2,2,1,308.8621794871795
2,2,1,1117.8402366863907
2,2,1,11.017042330951073
2,3,1,2.2704482147379084
2,3,1,0.0112079701120797
2,3,1,0.01422853501766194
2,3,1,354.11458333333326
2,3,1,251.59803921568627
2,3,1,5.4885496183206115
2,3,1,28.55778894472362
2,3,1,1.5515463917525774
2,3,1,314.2467948717949
2,3,1,1274.3195266272191
2,3,1,12.424409015942825
2,4,0,2.484173208407192
2,4,0,0.014943960149439604
2,4,0,0.021033486547848087
2,4,0,393.63541666666674
2,4,0,274.2549019607843
2,4,0,5.9618320610687014
2,4,0,32.163316582914575
2,4,0,1.7649484536082474
2,4,0,327.3076923076923
2,4,0,1362.07100591716
2,4,0,16.712479384277074
2,5,0,2.5560901494049126
2,5,0,0.021170610211706103
2,5,0,0.022270750462427387
2,5,0,367.29166666666674
2,5,0,258.4705882352941
2,5,0,5.814249363867685
2,5,0,31.91959798994975
2,5,0,1.9577319587628863
2,5,0,304.72756410256414
2,5,0,1219.467455621302
2,5,0,13.36998350742166
2,6,1,2.5728032413269184
2,6,1,0.0136986301369863
2,6,1,0.020414854590558442
2,6,1,425.32291666666674
2,6,1,262.95098039215685
2,6,1,6.105597964376591
2,6,1,33.69221105527638
2,6,1,2.0103092783505154
2,6,1,321.95512820512823
2,6,1,1440.9171597633135
2,6,1,14.788345244639912
2,7,1,2.562674094707521
2,7,1,0.023661270236612703
2,7,1,0.021033486547848087
2,7,1,419.28125
2,7,1,270.4019607843137
2,7,1,5.653944020356233
2,7,1,33.77386934673367
2,7,1,1.9010309278350517
2,7,1,316.82692307692315
2,7,1,1431.0650887573966
2,7,1,14.722374931280925
